DUID,STATIONID,REGIONID,PARTICIPANTID,DUIDNAME,STATIONNAME,PARTICIPANTNAME,CONNECTIONPOINTID,DISPATCHTYPE,STARTTYPE,VOLTLEVEL,REGISTEREDCAPACITY,AGCCAPABILITY,MAXCAPACITY,NORMALLYONFLAG,PHYSICALDETAILSFLAG,SPINNINGRESERVEFLAG,TRANSMISSIONLOSSFACTOR,STARTDATE,ENDDATE,COMMENCEDDATE,FIRSTDISPATCHDATE,TYPE,DESCRIPTION,MMS_ACTIVE,MMS_STARTDATE,MMS_ENDDATE,INTERMITTENTFLAG,FUELTYPE,COOLINGTYPE,COOLINGTYPE_COMMENT,CLASSIFICATIONID,TECHNOLOGYTYPE,THERMAL_EFFICIENCY_FACTOR,EMISSION_INTENSITY_FACTOR,GAS_PIPELINE_ID,OWNERSHIP_TYPE,OWNERSHIP_DESC,OWNERSHIP_LASTCHANGED,SCHEDULE_TYPE,MAXRATEOFCHANGEUP,MAXRATEOFCHANGEDOWN,MINIMUMLOAD_LEVEL,RETIRED_MOTHBALLED,SUBREGION,MIN_RAMP_RATE_UP,MIN_RAMP_RATE_DOWN,MAX_RAMP_RATE_UP,MAX_RAMP_RATE_DOWN,IS_AGGREGATED
MINTARO,MINTARO,SA1,PEAKCO,MINTARO MINTARO GAS ,Mintaro,Engie,SMPS,GENERATOR,FAST,132,90,N,105,,,,0.9746,1/7/2023 00:00,31/12/2999 00:00,25/10/1998 00:00,13/12/1998 01:00,Peak,,Y,25/10/1998 00:00,,N,Gas,Air,,MS,OCGT,12.47,0.87,,Private,International Power - GDF Suez,25/9/2009 00:00,SCHEDULED,,,0,,Northern,3,3,5,5,0
MOLNGSF1,MOLNGSF,NSW1,MOLONGOP,MOLONG SOLAR FARM,Molong Solar Farm,AMP Australia,NMOS1M,GENERATOR,SLOW,132,36,N,30,,,,0.9733,1/7/2023 00:00,31/12/2999 00:00,10/11/2020 00:00,10/11/2020 11:30,Renewable,"<p>&nbsp;Molong Operationsco as trustee for Molong Operations Trust.</p>
<p>The site was developed by Terrain Solar and was acquired by TEC-C Investments in November 2017 and is now owned by AMP Energy.</p>
<p>JS: Updated to reflect AEMO's NEM Registration and Exemption List 220311</p>",Y,10/11/2020 00:00,,Y,Solar,Nil,,Msemi,PV,,,,Private,AMP Energy,19/11/2020 00:00,SEMI-SCHEDULED,,,,,Western,1,1,6,6,0
MOORAWF1,MOORAWF,VIC1,MOORAWF,MOORABOOL WF,Moorabool Wind Farm,Goldwind,VELT2M,GENERATOR,SLOW,220,312,Y,305,,,,0.9576,1/7/2023 00:00,31/12/2999 00:00,19/11/2020 00:00,19/11/2020 17:00,Renewable,"<p>Operated by Goldwind&nbsp;https://protect-au.mimecast.com/s/_bP1C0YKVXS7OYjxcwpolYp?domain=mooraboolwindfarm.com</p>
<p>In September 2016, Goldwind acquired the Moorabool Wind Farm from WestWind Energy.</p>",Y,19/11/2020 00:00,,Y,Wind,Air,,Msemi,Wind,,,,Private,Goldwind,,SEMI-SCHEDULED,,,,,Western,3,3,61,61,0
MORANBAH,MORANBAH,QLD1,AGLAM,Moranbah Generation,Moranbah Generation Project,AGL Energy,QMRL1M,GENERATOR,NOT DISPATCHED,11,13,N,13,,,,0.9852,1/7/2023 00:00,31/12/2999 00:00,1/3/2007 00:00,,,,Y,1/3/2007 00:00,,N,Waste Gas,,,MNS,,,0.53,,Private,AGL Energy,24/8/2012 00:00,NON-SCHEDULED,,,,,,0,0,,,
MBAHNTH,MBAHNTH,QLD1,MBAHNTH,MORANBAH NTH PS,Moranbah North Units 1 - 15,EDL Group,QMRN1P,GENERATOR,NOT DISPATCHED,66,63,N,63,,,,0.9898,1/7/2023 00:00,31/12/2999 00:00,20/6/2008 00:00,,,,Y,20/6/2008 00:00,,N,Waste Gas,,,MNS,Recip,,0.55,,Private,EDL Group,25/9/2009 00:00,NON-SCHEDULED,,,,,,0,0,0,0,
MOREESF1,MOREESF,NSW1,MOREEAC,MOREE SOLAR FARM,Moree Solar Farm,FRV,NMR41M,GENERATOR,SLOW,66,57,N,56,,,,0.7977,1/7/2023 00:00,31/12/2999 00:00,9/2/2016 00:00,22/2/2016 08:30,Renewable,"<p>&nbsp;JS: Updated PN to FRV</p>
<p>https://protect-au.mimecast.com/s/p4HfCgZ0LQCoX483cNxqCn0?domain=originenergy.com.au</p>",Y,9/2/2016 00:00,,Y,Solar,Nil,,Msemi,PV,,0.01,,Private,FRV,,SEMI-SCHEDULED,,,,,Hunter,1,1,60,60,0
MWPS1PV1,MWPS1,SA1,SAWCML,MORGAN-WHYALLAPS1,Morgan-Whyalla PS1,South Australian Water Corporation,SMW11M,GENERATOR,SLOW,3,5,N,4,,,,0.9847,1/7/2023 00:00,31/12/2999 00:00,9/2/2021 00:00,22/3/2021 11:30,Renewable,<p>&nbsp;Ownership details&nbsp;https://protect-au.mimecast.com/s/isUmCjZ1qOCBLZgrcWJQBci?domain=sawater.com.au</p>,Y,9/2/2021 00:00,,Y,Solar,,,Msemi,PV,,,,Government,South Australian Water Corporation,,SEMI-SCHEDULED,,,,,Northern,1,1,1,1,0
MWPS2PV1,MWPS2,SA1,SAWCML,MORGAN-WHYALLAPS2,Morgan-Whyalla PS2,South Australian Water Corporation,SMW21M,GENERATOR,SLOW,3,5,N,4,,,,0.988,1/7/2023 00:00,31/12/2999 00:00,9/2/2021 00:00,16/3/2021 11:00,Renewable,<p>&nbsp;&nbsp;Ownership details&nbsp;https://protect-au.mimecast.com/s/isUmCjZ1qOCBLZgrcWJQBci?domain=sawater.com.au</p>,Y,9/2/2021 00:00,,Y,Solar,,,Msemi,PV,,,,Government,South Australian Water Corporation,,SEMI-SCHEDULED,,,,,Northern,1,1,1,1,0
MWPS3PV1,MWPS3,SA1,SAWCML,MORGAN-WHYALLAPS3,Morgan-Whyalla PS3,South Australian Water Corporation,SMW31M,GENERATOR,SLOW,3,7,N,6,,,,0.9847,1/7/2023 00:00,31/12/2999 00:00,26/10/2020 00:00,13/11/2020 15:30,Renewable,<p>&nbsp;https://protect-au.mimecast.com/s/piOtCk81ZOtKVogEs2zWZrq?domain=saw-uat.squiz.cloud</p>,Y,26/10/2020 00:00,,Y,Solar,,,Msemi,PV,,,,Government,South Australian Water Corporation,,SEMI-SCHEDULED,,,,,Northern,1,1,2,2,0
MWPS4PV1,MWPS4,SA1,SAWCML,MORGAN-WHYALLAPS4,Morgan-Whyalla PS4,South Australian Water Corporation,SMW41M,GENERATOR,SLOW,3,5,N,4,,,,0.9796,1/7/2023 00:00,31/12/2999 00:00,2/2/2021 00:00,1/3/2021 10:00,Renewable,"<p>&nbsp;https://protect-au.mimecast.com/s/9ycwClx15MSVJ6LrCG4rZCn?domain=sawater.com.au</p>
<p>https://protect-au.mimecast.com/s/isUmCjZ1qOCBLZgrcWJQBci?domain=sawater.com.au</p>",Y,2/2/2021 00:00,,Y,Solar,Nil,,Msemi,PV,,,,Government,South Australian Water Corporation,,SEMI-SCHEDULED,,,,,Northern,1,1,1,1,0
MORNW,MORNW,VIC1,EASTENGY,MORNW MORNINGTON WAS,Mornington Waste,EnergyAustralia,VTBT1,GENERATOR,NOT DISPATCHED,11,1,N,1,,,N,0.9963,1/7/2017 00:00,1/4/2018 00:00,7/1/2003 00:00,,,,Y,7/1/2003 00:00,,N,Biomass,,,MNS,,,,,Government,,24/8/2012 00:00,NON-SCHEDULED,,,,,,0,0,,,
MORTLK12,MORTLK,VIC1,BORAL,MORTLAKE PS UNIT 2,Mortlake,Origin Energy,VM0P2O,GENERATOR,FAST,500,283,Y,292,,,,0.9927,1/7/2023 00:00,31/12/2999 00:00,1/8/2011 00:00,23/9/2011 17:30,Peak,,Y,1/8/2011 00:00,,N,Gas,Air,,MS,OCGT,10.91,0.62,,Private,Origin Energy,1/8/2011 00:00,SCHEDULED,,,197.4,,Western,3,3,13,13,0
MORTLK11,MORTLK,VIC1,BORAL,MORTLAKE PS UNIT 1,Mortlake,Origin Energy,VM0P1O,GENERATOR,FAST,500,283,Y,292,,,,0.9927,28/11/2023 00:00,31/12/2999 00:00,1/8/2011 00:00,1/8/2011 16:00,Peak,,Y,1/8/2011 00:00,,N,Gas,Air,,MS,OCGT,10.91,0.62,,Private,Origin Energy,1/8/2011 00:00,SCHEDULED,,,197.4,,Western,3,3,50,50,0
MRTLSWF1,MRTLSWF,VIC1,MORTLSWF,MORTLAKE SOUTH WF,Mortlake South Wind Farm,Mortlake South Wind Farm Pty Ltd,VTG21M,GENERATOR,SLOW,220,157,Y,153,,,,0.9528,1/7/2023 00:00,31/12/2999 00:00,28/6/2022 00:00,27/10/2022 15:00,,,Y,28/6/2022 00:00,,Y,Wind,,,,Wind,,,,,,,SEMI-SCHEDULED,,,,,Western,3,3,31,31,0
MLWF1,MLWF,VIC1,MORTONSL,MORTONSL WF,Mortons Lane WF,Goldwind,VTGT4M,GENERATOR,NOT DISPATCHED,66,20,N,20,,,,0.9933,1/7/2023 00:00,31/12/2999 00:00,9/11/2012 00:00,,Renewable,,Y,9/11/2012 00:00,,Y,Wind,Air,,Msemi,Wind,0,0,,Private,,,NON-SCHEDULED,,,,,Western,0,0,0,0,
MOR1,ENERGYB,VIC1,SOLARIS,MOR1 ENERGY BRIX COM,Morwell,Energy Brix,VMWT1,GENERATOR,SLOW,66,90,N,90,,,,0.9704,4/3/2016 00:00,11/3/2016 00:00,25/10/1998 00:00,13/12/1998 00:30,Base,,Y,25/10/1998 00:00,,N,Coal-Brown,Fresh,?,MS,Boiler,12.75,1.27,,Private,Energy Brix Australia,25/9/2009 00:00,SCHEDULED,,,10,MOTHBALLED,Latrobe Valley,3,3,18,18,1
MOR3,ENERGYB,VIC1,SOLARIS,MOR3 ENERGY BRIX COM,Morwell,Energy Brix,VMWP5,GENERATOR,SLOW,220,75,N,75,,,,0.9732,4/3/2016 00:00,11/3/2016 00:00,25/10/1998 00:00,13/12/1998 00:30,Base,,Y,25/10/1998 00:00,,N,Coal-Brown,Fresh,?,MS,Boiler,12.75,1.27,,Private,Energy Brix Australia,25/9/2009 00:00,SCHEDULED,,,,MOTHBALLED,Latrobe Valley,2,2,15,15,0
MOR2,ENERGYB,VIC1,SOLARIS,MOR2 ENERGY BRIX COM,Morwell,Energy Brix,VMWP4,GENERATOR,SLOW,220,30,N,30,,,,0.9732,4/3/2016 00:00,11/3/2016 00:00,25/10/1998 00:00,18/3/1999 12:30,Base,,Y,25/10/1998 00:00,,N,Coal-Brown,Fresh,?,MS,Boiler,12.75,1.27,,Private,Energy Brix Australia,25/9/2009 00:00,SCHEDULED,,,15,,Latrobe Valley,1,1,6,6,0
MORNL1,ENERGYB,VIC1,SOLARIS,MORNL1 ENERGYB,Morwell,Energy Brix,VMWTL,GENERATOR,NOT DISPATCHED,330,25,N,30,,,N,0.9799,4/3/2016 00:00,11/3/2016 00:00,25/10/1998 00:00,,,,N,25/10/1998 00:00,6/6/2006 00:00,N,,Fresh,?,,,,,,,,,NON-SCHEDULED,,,,,Latrobe Valley,0,0,,,
MEWF1,MEWF,QLD1,EEQMEWF,MT EMERALD WF,Mount Emerald Wind Farm,Ergon Energy,QWKM1M,GENERATOR,SLOW,275,180,N,178,,,,0.9472,1/7/2023 00:00,31/12/2999 00:00,14/8/2018 00:00,20/8/2018 14:30,Renewable,,Y,14/8/2018 00:00,,Y,Wind,Nil,,Msemi,Wind,,,,Government,"RATCH Australia, intermediary is Ergon Energy",,SEMI-SCHEDULED,,,,,Northern,3,3,159,159,0
MTMILLAR,MTMILLAR,SA1,MTMILLAR,MTMILLAR MOUNT MILLA,Mount Millar WF,Meridian Energy,SMTM1,GENERATOR,SLOW,33,70,N,70,,,,0.9259,1/7/2023 00:00,31/12/2999 00:00,22/9/2005 00:00,1/2/2022 00:30,Renewable,,Y,22/9/2005 00:00,,Y,Wind,Air,,MNS,Wind,,0,,Private,Meridian Energy,1/4/2010 00:00,SEMI-SCHEDULED,,,0,,Adelaide,2,2,14,14,0
MOUSF1,MOUSF,QLD1,MOUSF,MOURA SOLAR FARM,Moura Solar Farm,Moura Solar Farm SPV Pty Ltd ATF Moura Solar Farm Unit Trust,QMRR1M,GENERATOR,SLOW,132,99,Y,82,,,,0.9081,1/7/2023 00:00,31/12/2999 00:00,18/10/2022 00:00,19/10/2022 12:30,,,Y,18/10/2022 00:00,,Y,Solar,,,,PV,,,,,,,SEMI-SCHEDULED,,,,,Central,2,2,17,17,0
MTGELWF1,MTGELWF,VIC1,MTGELLWF,MT GELLIBRAND WF,Mt Gellibrand WF,Acciona Energy,VGTW1M,GENERATOR,SLOW,66,138,N,132,,,,0.9896,1/7/2023 00:00,31/12/2999 00:00,1/6/2018 00:00,21/6/2018 17:00,Renewable,,Y,1/6/2018 00:00,,Y,Wind,,,Msemi,Wind,,0,,Private,,9/8/2018 00:00,SEMI-SCHEDULED,,,,,Western,3,3,200,400,0
MERCER01,MTMERCER,VIC1,MTMERCER,MT MERCER WIND FARM,Mt Mercer WF,Meridian Energy,VELT1M,GENERATOR,SLOW,220,131,Y,131,,,,0.9576,1/7/2023 00:00,31/12/2999 00:00,15/10/2013 00:00,25/11/2013 13:30,Renewable,,Y,15/10/2013 00:00,,Y,Wind,Air,,Msemi,Wind,0,0,,Private,,,SEMI-SCHEDULED,,,,,Western,3,3,33,33,0
MP1,MP,NSW1,TRUDW,MP1 MT PIPER POWER S,Mt Piper,EnergyAustralia,NMTP1,GENERATOR,SLOW,330,730,Y,730,,,,0.9717,1/7/2023 00:00,31/12/2999 00:00,25/10/1998 00:00,13/12/1998 00:30,Base,,Y,25/10/1998 00:00,,N,Coal-Black,Fresh,,MS,Boiler,9.24,0.89,,Government,EnergyAustralia NSW Pty Ltd,2/3/2011 00:00,SCHEDULED,,,240,,Western,3,3,25,25,0
MPNL1,MP,NSW1,TRUDW,MPNL1 MP,Mt Piper,EnergyAustralia,NMPPL,GENERATOR,NOT DISPATCHED,330,25,N,30,,,N,0.9717,1/7/2023 00:00,31/12/2999 00:00,25/10/1998 00:00,,,,N,25/10/1998 00:00,6/6/2006 00:00,N,,Fresh,,,,,,,,,,NON-SCHEDULED,,,,,Western,0,0,,,
MP2,MP,NSW1,TRUDW,MP2 MT PIPER POWER S,Mt Piper,EnergyAustralia,NMTP2,GENERATOR,SLOW,330,700,Y,700,,,,0.9717,1/7/2023 00:00,31/12/2999 00:00,25/10/1998 00:00,13/12/1998 00:30,Base,,Y,25/10/1998 00:00,,N,Coal-Black,Fresh,,MS,Boiler,9.24,0.89,,Government,EnergyAustralia NSW Pty Ltd,2/3/2011 00:00,SCHEDULED,,,240,,Western,3,3,25,25,0
MSTUART1,MSTUART,QLD1,BORAL,MSTUART1 MT STUART,Mt Stuart,Origin Energy,QMSP1,GENERATOR,FAST,132,144,Y,152,,,,0.9164,1/7/2023 00:00,31/12/2999 00:00,25/10/1998 00:00,14/12/1998 12:30,Peak,,Y,25/10/1998 00:00,,N,Diesel,Air,,MS,OCGT,11.64,0.87,,Private,Origin Energy,25/9/2009 00:00,SCHEDULED,,,8,,Northern,3,3,31,31,0
MSTUART2,MSTUART,QLD1,BORAL,MSTUART2 MT STUART,Mt Stuart,Origin Energy,QMSP2,GENERATOR,FAST,132,144,Y,152,,,,0.9164,1/7/2023 00:00,31/12/2999 00:00,25/10/1998 00:00,23/12/1998 09:30,Peak,,Y,25/10/1998 00:00,,N,Diesel,Air,,MS,OCGT,11.64,0.87,,Private,Origin Energy,25/9/2009 00:00,SCHEDULED,,,8,,Northern,3,3,31,31,0
MSTUART3,MSTUART,QLD1,BORAL,MT STUART UNIT 3,Mt Stuart,Origin Energy,QMSP3M,GENERATOR,FAST,132,131,Y,139,,,,0.9164,1/7/2023 00:00,31/12/2999 00:00,15/10/2009 00:00,16/10/2009 12:30,Peak,,Y,15/10/2009 00:00,,N,Diesel,Air,,MS,OCGT,11.64,0.99,,Private,Origin Energy,5/8/2010 00:00,SCHEDULED,,,8,,Northern,3,3,28,28,0
MLLFGEF1,MLLFGEF,NSW1,LGIGEN,LGI MUGGA LANE,Mugga Lane Landfill Gas To Energy Facility,LGI Limited,AGLM1M,GENERATOR,NOT DISPATCHED,11,4,N,4,,,,0.9663,1/7/2023 00:00,31/12/2999 00:00,28/6/2022 00:00,,,,Y,28/6/2022 00:00,,N,,,,,,,,,,,,NON-SCHEDULED,,,,,,0,0,0,0,
MLSP1,MLSP,NSW1,MUGGALSP,MUGGA LANE SOLAR PAR,Mugga Lane Solar Park,Mugga Lane Solar Park,ACA12M,GENERATOR,NOT DISPATCHED,11,12,N,12,,,,0.9674,1/7/2023 00:00,31/12/2999 00:00,14/11/2016 00:00,,Renewable,,Y,14/11/2016 00:00,,Y,Solar,,,MNS,PV,,,,,,,NON-SCHEDULED,,,,,Canberra,0,0,0,0,
MULGRAVE,MULGRAVE,QLD1,STANWELL,MULGRAVE MULGRAVE CE,Mulgrave Central Mill,Stanwell Corporation,QCRN,GENERATOR,NOT DISPATCHED,22,2,N,2,,,N,1.1717,1/7/2002 00:00,17/6/2003 00:00,27/7/2000 00:00,,,,Y,27/7/2000 00:00,,N,Bagasse,,,,,,,,Government,Stanwell Corporation (Qld Government),25/9/2009 00:00,NON-SCHEDULED,,,,,,0,0,,,
MM4,MM,NSW1,DELTA,MM4 MUNMORAH POWER S,Munmorah,Delta Electricity,NMNP4,GENERATOR,SLOW,330,300,Y,310,,,,0.9926,1/7/2013 00:00,29/5/2014 00:00,25/10/1998 00:00,28/2/2000 00:30,Base,,Y,25/10/1998 00:00,,N,Coal-Black,Sea,,MS,Boiler,10.84,1.07,,Government,Delta Electricity (NSW Government),25/9/2009 00:00,SCHEDULED,,,,RETIRED,Coast,3,3,25,25,0
MM3,MM,NSW1,DELTA,MM3 MUNMORAH POWER S,Munmorah,Delta Electricity,NMNP3,GENERATOR,SLOW,330,300,Y,310,,,,0.9926,1/7/2013 00:00,29/5/2014 00:00,25/10/1998 00:00,13/12/1998 00:30,Base,,Y,25/10/1998 00:00,,N,Coal-Black,Sea,,MS,Boiler,10.84,1.07,,Government,Delta Electricity (NSW Government),25/9/2009 00:00,SCHEDULED,,,,RETIRED,Coast,3,3,25,25,0
MMNL1,MM,NSW1,DELTA,MMNL1 MM,Munmorah,Delta Electricity,NMNPL,GENERATOR,NOT DISPATCHED,330,25,N,30,,,N,0.9926,1/7/2013 00:00,29/5/2014 00:00,25/10/1998 00:00,,,,N,25/10/1998 00:00,6/6/2006 00:00,N,,Sea,,,,,,,,,,NON-SCHEDULED,,,,,,0,0,,,
MUWAWF1,MUWAWF,VIC1,MWARRA,MURRA WARRA WF 1,Murra Warra WF,Telstra Energy,VMRT1M,GENERATOR,SLOW,220,231,N,225,,,,0.8768,1/7/2023 00:00,31/12/2999 00:00,19/3/2019 00:00,8/4/2019 20:00,Renewable,,Y,19/3/2019 00:00,,Y,Wind,Air,,Msemi,Wind,,,,Private,"Murra Warra Project Co Pty Ltd, Telstra Energy (Generation) Pty Ltd (wholly owned subsidiary of Telstra Corporation) is the intermediary",,SEMI-SCHEDULED,,,,,Northern,3,3,45,45,0
MUWAWF2,MUWAWF2,VIC1,MUWARRA2,MUWAWF2,Murra Warra Wind Farm Stage 2,Murra Warra II Project Co Pty Ltd ATF The Murra Warra II Project Trust,VMRT2M,GENERATOR,SLOW,220,209,Y,203,,,,0.8768,1/7/2023 00:00,31/12/2999 00:00,15/2/2022 00:00,15/2/2022 15:30,Renewable,,Y,15/2/2022 00:00,,Y,Wind,Air,,Msemi,Wind,,,,Private,Murra Warra Project Co Pty Ltd ,,SEMI-SCHEDULED,,,,,Northern,3,3,40,40,0
MURAYNL3,MURRAY,VIC1,SNOWY,MURAYNL3 MURRAY,Murray,Snowy Hydro,NMURL3,GENERATOR,NOT DISPATCHED,330,25,N,30,,,N,0.985,1/7/2023 00:00,31/12/2999 00:00,20/2/2003 00:00,,,,N,20/2/2003 00:00,6/6/2006 00:00,N,,Nil,,,,,,,,,,NON-SCHEDULED,,,,,Northern,0,0,,,
MURAYNL1,MURRAY,VIC1,SNOWY,MURAYNL1 MURRAY,Murray,Snowy Hydro,NMURL1,GENERATOR,NOT DISPATCHED,330,25,N,30,,,N,0.985,1/7/2023 00:00,31/12/2999 00:00,20/2/2003 00:00,,,,N,20/2/2003 00:00,6/6/2006 00:00,N,,Nil,,,,,,,,,,NON-SCHEDULED,,,,,Northern,0,0,,,
MURRAY,MURRAY,VIC1,SNOWY,MURRAY MURRAY,Murray,Snowy Hydro,NMUR8,GENERATOR,FAST,330,1500,Y,1575,,,,0.985,1/7/2023 00:00,31/12/2999 00:00,22/6/2001 00:00,15/7/2001 01:00,Intermed,,Y,22/6/2001 00:00,,N,Hydro,Nil,,MS,Hydro,0,0,,Government,Snowy Hydro. NSW Govt (58%); Vic Govt (29%); Australian Govt (13%),25/9/2009 00:00,SCHEDULED,,,,,Northern,32,32,450,450,1
MURAYNL2,MURRAY,VIC1,SNOWY,MURAYNL2 MURRAY,Murray,Snowy Hydro,NMURL2,GENERATOR,NOT DISPATCHED,330,25,N,30,,,N,0.985,1/7/2023 00:00,31/12/2999 00:00,20/2/2003 00:00,,,,N,20/2/2003 00:00,6/6/2006 00:00,N,,Nil,,,,,,,,,,NON-SCHEDULED,,,,,Northern,0,0,,,
MBPS2PV1,MBPS2,SA1,SAWCML,MBO PS2 PV1,Murray Bridge-Onkaparinga Pipeline Pumping Station No 2,South Australian Water Corporation,SMH21M,GENERATOR,SLOW,11,13,Y,10,,,,1.0006,1/7/2023 00:00,31/12/2999 00:00,11/1/2022 00:00,3/3/2022 10:00,Renewable,,Y,11/1/2022 00:00,,Y,Solar,Nil,,Msemi,PV,,,,Government,South Australian Water Corporation,,SEMI-SCHEDULED,,,,,Adelaide,1,1,3,3,0
MURR1-4,MURRAY1,VIC1,SNOWY,MURR1-4 MURRAY1,Murray1,Snowy Hydro,NMUR04,GENERATOR,NOT DISPATCHED,330,95,N,95,,,,0.98,1/7/2023 00:00,31/12/2999 00:00,29/11/1998 00:00,,,,N,29/11/1998 00:00,22/6/2001 00:00,N,Hydro,,,MS,,,,,,,,NON-SCHEDULED,,,,,,0,0,,,
MURR1-3,MURRAY1,VIC1,SNOWY,MURR1-3 MURRAY1,Murray1,Snowy Hydro,NMUR03,GENERATOR,NOT DISPATCHED,330,95,N,95,,,,0.98,1/7/2023 00:00,31/12/2999 00:00,29/11/1998 00:00,,,,N,29/11/1998 00:00,22/6/2001 00:00,N,Hydro,,,MS,,,,,,,,NON-SCHEDULED,,,,,,0,0,,,
MURR1-7,MURRAY1,VIC1,SNOWY,MURR1-7 MURRAY1,Murray1,Snowy Hydro,NMUR07,GENERATOR,NOT DISPATCHED,330,95,N,95,,,,0.98,1/7/2023 00:00,31/12/2999 00:00,29/11/1998 00:00,,,,N,29/11/1998 00:00,22/6/2001 00:00,N,Hydro,,,MS,,,,,,,,NON-SCHEDULED,,,,,,0,0,,,
MURR1-6,MURRAY1,VIC1,SNOWY,MURR1-6 MURRAY1,Murray1,Snowy Hydro,NMUR06,GENERATOR,NOT DISPATCHED,330,95,N,95,,,,0.98,1/7/2023 00:00,31/12/2999 00:00,29/11/1998 00:00,,,,N,29/11/1998 00:00,22/6/2001 00:00,N,Hydro,,,MS,,,,,,,,NON-SCHEDULED,,,,,,0,0,,,
MURR1-5,MURRAY1,VIC1,SNOWY,MURR1-5 MURRAY1,Murray1,Snowy Hydro,NMUR05,GENERATOR,NOT DISPATCHED,330,95,N,95,,,,0.98,1/7/2023 00:00,31/12/2999 00:00,29/11/1998 00:00,,,,N,29/11/1998 00:00,22/6/2001 00:00,N,Hydro,,,MS,,,,,,,,NON-SCHEDULED,,,,,,0,0,,,
MURR1-1,MURRAY1,VIC1,SNOWY,MURR1-1 MURRAY1,Murray1,Snowy Hydro,NMUR01,GENERATOR,NOT DISPATCHED,330,95,N,95,,,,0.98,1/7/2023 00:00,31/12/2999 00:00,29/11/1998 00:00,,,,N,29/11/1998 00:00,22/6/2001 00:00,N,Hydro,,,MS,,,,,,,,NON-SCHEDULED,,,,,,0,0,,,
MURR1-8,MURRAY1,VIC1,SNOWY,MURR1-8 MURRAY1,Murray1,Snowy Hydro,NMUR08,GENERATOR,NOT DISPATCHED,330,95,N,95,,,,0.98,1/7/2023 00:00,31/12/2999 00:00,29/11/1998 00:00,,,,N,29/11/1998 00:00,22/6/2001 00:00,N,Hydro,,,MS,,,,,,,,NON-SCHEDULED,,,,,,0,0,,,
MURR1-9,MURRAY1,VIC1,SNOWY,MURR1-9 MURRAY1,Murray1,Snowy Hydro,NMUR09,GENERATOR,NOT DISPATCHED,330,95,N,95,,,,0.98,1/7/2023 00:00,31/12/2999 00:00,29/11/1998 00:00,,,,N,29/11/1998 00:00,22/6/2001 00:00,N,Hydro,,,MS,,,,,,,,NON-SCHEDULED,,,,,,0,0,,,
MURR1-2,MURRAY1,VIC1,SNOWY,MURR1-2 MURRAY1,Murray1,Snowy Hydro,NMUR02,GENERATOR,NOT DISPATCHED,330,95,N,95,,,,0.98,1/7/2023 00:00,31/12/2999 00:00,29/11/1998 00:00,,,,N,29/11/1998 00:00,22/6/2001 00:00,N,Hydro,,,MS,,,,,,,,NON-SCHEDULED,,,,,,0,0,,,
MURR1-10,MURRAY1,VIC1,SNOWY,MURR1-10 MURRAY1,Murray1,Snowy Hydro,NMUR10,GENERATOR,NOT DISPATCHED,330,95,N,95,,,,0.98,1/7/2023 00:00,31/12/2999 00:00,29/11/1998 00:00,,,,N,29/11/1998 00:00,22/6/2001 00:00,N,Hydro,,,MS,,,,,,,,NON-SCHEDULED,,,,,,0,0,,,
MURR2-2,MURRAY2,VIC1,SNOWY,MURR2-2 MURRAY2,Murray2,Snowy Hydro,NMUR22,GENERATOR,NOT DISPATCHED,330,138,N,138,,,,0.98,1/7/2023 00:00,31/12/2999 00:00,29/11/1998 00:00,,,,N,29/11/1998 00:00,22/6/2001 00:00,N,Hydro,,,MS,,,,,,,,NON-SCHEDULED,,,,,,0,0,,,
MURR2-1,MURRAY2,VIC1,SNOWY,MURR2-1 MURRAY2,Murray2,Snowy Hydro,NMUR21,GENERATOR,NOT DISPATCHED,330,138,N,138,,,,0.98,1/7/2023 00:00,31/12/2999 00:00,29/11/1998 00:00,,,,N,29/11/1998 00:00,22/6/2001 00:00,N,Hydro,,,MS,,,,,,,,NON-SCHEDULED,,,,,,0,0,,,
MURR2-3,MURRAY2,VIC1,SNOWY,MURR2-3 MURRAY2,Murray2,Snowy Hydro,NMUR23,GENERATOR,NOT DISPATCHED,330,138,N,138,,,,0.98,1/7/2023 00:00,31/12/2999 00:00,29/11/1998 00:00,,,,N,29/11/1998 00:00,22/6/2001 00:00,N,Hydro,,,MS,,,,,,,,NON-SCHEDULED,,,,,,0,0,,,
MURR2-4,MURRAY2,VIC1,SNOWY,MURR2-4 MURRAY2,Murray2,Snowy Hydro,NMUR24,GENERATOR,NOT DISPATCHED,330,138,N,202,,,,0.98,1/7/2023 00:00,31/12/2999 00:00,29/11/1998 00:00,,,,N,29/11/1998 00:00,22/6/2001 00:00,N,Hydro,,,MS,,,,,,,,NON-SCHEDULED,,,,,,0,0,,,
MLINKSA,MURLINKP,SA1,MRYLINK1,MLINKSA MURLINK INTC,Murraylink,TransEnergie,SMNS1,GENERATOR,NOT DISPATCHED,132,220,N,270,,,N,1.0584,1/7/2003 00:00,9/10/2003 00:00,6/8/2002 00:00,,,,N,6/8/2002 00:00,6/6/2006 00:00,N,,,,,,,,,,,,NON-SCHEDULED,,,,,,0,0,,,
